sandwich bags,vegetables,427
hand soap,soap,523
toilet paper,vegetables,428
spaghetti sauce,vegetables,431
individual meals,vegetables,426
bagels,vegetables,441
juice,vegetables,432
beef,vegetables,421
flour,vegetables,406
pork,vegetables,401
soda,vegetables,449
yogurt,vegetables,462
fruits,vegetables,426
tortillas,vegetables,413
sandwich loaves,vegetables,425
pasta,vegetables,431
all- purpose,vegetables,428
aluminum foil,vegetables,464
lunch meat,vegetables,452
mixes,vegetables,431
cheeses,vegetables,455
vegetables,waffles,457
vegetables,poultry,480
vegetables,dinner rolls,441
vegetables,ice cream,451
vegetables,laundry detergent,456
vegetables,shampoo,415
vegetables,soap,666
vegetables,butter,428
vegetables,coffee/tea,423
vegetables,eggs,466
vegetables,ketchup,409
vegetables,paper towels,428
vegetables,dishwashing liquid/detergent,457
vegetables,milk,442
vegetables,cereals,443
vegetables,sugar,440
